,Date,Device Category,Sessions
0,2014-01-01,desktop,1032805
3,2014-01-02,desktop,2359710
6,2014-01-03,desktop,2033439
9,2014-01-04,desktop,975623
12,2014-01-05,desktop,1237064
15,2014-01-06,desktop,3203372
18,2014-01-07,desktop,4650480
21,2014-01-08,desktop,3535273
24,2014-01-09,desktop,3824799
27,2014-01-10,desktop,2364078
30,2014-01-11,desktop,1057963
33,2014-01-12,desktop,1098235
36,2014-01-13,desktop,3051560
39,2014-01-14,desktop,2954661
42,2014-01-15,desktop,2819957
45,2014-01-16,desktop,2470524
48,2014-01-17,desktop,2240179
51,2014-01-18,desktop,1100557
54,2014-01-19,desktop,1192535
57,2014-01-20,desktop,1742473
60,2014-01-21,desktop,2598263
63,2014-01-22,desktop,2636234
66,2014-01-23,desktop,2356111
69,2014-01-24,desktop,2362585
72,2014-01-25,desktop,1022012
75,2014-01-26,desktop,1158117
78,2014-01-27,desktop,2858641
81,2014-01-28,desktop,2641544
84,2014-01-29,desktop,2556194
87,2014-01-30,desktop,2604275
90,2014-01-31,desktop,2224438
93,2014-02-01,desktop,1056329
96,2014-02-02,desktop,968428
99,2014-02-03,desktop,2694591
102,2014-02-04,desktop,3229939
105,2014-02-05,desktop,2896452
108,2014-02-06,desktop,2862721
111,2014-02-07,desktop,2293868
114,2014-02-08,desktop,962112
117,2014-02-09,desktop,1265759
120,2014-02-10,desktop,3035032
123,2014-02-11,desktop,3262554
126,2014-02-12,desktop,2676452
129,2014-02-13,desktop,2449433
132,2014-02-14,desktop,1887340
135,2014-02-15,desktop,1028370
138,2014-02-16,desktop,1140092
141,2014-02-17,desktop,1891451
144,2014-02-18,desktop,3077033
147,2014-02-19,desktop,2923804
150,2014-02-20,desktop,2891152
153,2014-02-21,desktop,2348398
156,2014-02-22,desktop,1004463
159,2014-02-23,desktop,1048829
162,2014-02-24,desktop,3124322
165,2014-02-25,desktop,2992708
168,2014-02-26,desktop,3192114
171,2014-02-27,desktop,2860645
174,2014-02-28,desktop,2799947
177,2014-03-01,desktop,1151232
180,2014-03-02,desktop,1073609
183,2014-03-03,desktop,2933382
186,2014-03-04,desktop,3077555
189,2014-03-05,desktop,2648278
192,2014-03-06,desktop,2540981
195,2014-03-07,desktop,2223741
198,2014-03-08,desktop,992096
201,2014-03-09,desktop,1100573
204,2014-03-10,desktop,2695740
207,2014-03-11,desktop,2515936
210,2014-03-12,desktop,2334046
213,2014-03-13,desktop,2491104
216,2014-03-14,desktop,2243200
219,2014-03-15,desktop,943289
222,2014-03-16,desktop,1032933
225,2014-03-17,desktop,2535910
228,2014-03-18,desktop,2768783
231,2014-03-19,desktop,2501989
234,2014-03-20,desktop,2439245
237,2014-03-21,desktop,2270613
240,2014-03-22,desktop,996971
243,2014-03-23,desktop,1032462
246,2014-03-24,desktop,2760564
249,2014-03-25,desktop,2830824
252,2014-03-26,desktop,2401236
255,2014-03-27,desktop,2555831
258,2014-03-28,desktop,2165784
261,2014-03-29,desktop,946382
264,2014-03-30,desktop,999074
267,2014-03-31,desktop,2378596
270,2014-04-01,desktop,2635187
273,2014-04-02,desktop,2643055
276,2014-04-03,desktop,2171491
279,2014-04-04,desktop,1944878
282,2014-04-05,desktop,914560
285,2014-04-06,desktop,887174
288,2014-04-07,desktop,2722135
291,2014-04-08,desktop,2656154
294,2014-04-09,desktop,2533345
297,2014-04-10,desktop,2367777
300,2014-04-11,desktop,2075369
303,2014-04-12,desktop,908625
306,2014-04-13,desktop,930711
309,2014-04-14,desktop,2271682
312,2014-04-15,desktop,2459587
315,2014-04-16,desktop,2454982
318,2014-04-17,desktop,2208472
321,2014-04-18,desktop,1820222
324,2014-04-19,desktop,826310
327,2014-04-20,desktop,769633
330,2014-04-21,desktop,2755077
333,2014-04-22,desktop,2793461
336,2014-04-23,desktop,2833629
339,2014-04-24,desktop,2424572
342,2014-04-25,desktop,2017778
345,2014-04-26,desktop,885219
348,2014-04-27,desktop,1016537
351,2014-04-28,desktop,2589469
354,2014-04-29,desktop,2837263
357,2014-04-30,desktop,2720301
360,2014-05-01,desktop,2523524
363,2014-05-02,desktop,2075685
366,2014-05-03,desktop,956438
369,2014-05-04,desktop,1019302
372,2014-05-05,desktop,2777536
375,2014-05-06,desktop,2655533
378,2014-05-07,desktop,2601208
381,2014-05-08,desktop,2409665
384,2014-05-09,desktop,2020192
387,2014-05-10,desktop,823791
390,2014-05-11,desktop,895734
393,2014-05-12,desktop,2777833
396,2014-05-13,desktop,2767023
399,2014-05-14,desktop,2631188
402,2014-05-15,desktop,2351515
405,2014-05-16,desktop,1934502
408,2014-05-17,desktop,868275
411,2014-05-18,desktop,973572
414,2014-05-19,desktop,2703737
417,2014-05-20,desktop,2663529
420,2014-05-21,desktop,2625103
423,2014-05-22,desktop,2478084
426,2014-05-23,desktop,2027296
429,2014-05-24,desktop,705832
432,2014-05-25,desktop,942015
435,2014-05-26,desktop,1121527
438,2014-05-27,desktop,2615802
441,2014-05-28,desktop,2483187
444,2014-05-29,desktop,2594799
447,2014-05-30,desktop,2638891
450,2014-05-31,desktop,941042
453,2014-06-01,desktop,1011083
456,2014-06-02,desktop,2838816
459,2014-06-03,desktop,2754639
462,2014-06-04,desktop,2440481
465,2014-06-05,desktop,2419482
468,2014-06-06,desktop,2198042
471,2014-06-07,desktop,912212
474,2014-06-08,desktop,872748
477,2014-06-09,desktop,2511504
480,2014-06-10,desktop,3066403
483,2014-06-11,desktop,2767734
486,2014-06-12,desktop,2678627
489,2014-06-13,desktop,1960034
492,2014-06-14,desktop,791413
495,2014-06-15,desktop,867909
498,2014-06-16,desktop,2403739
501,2014-06-17,desktop,2491180
504,2014-06-18,desktop,2424539
507,2014-06-19,desktop,2324184
510,2014-06-20,desktop,1986285
513,2014-06-21,desktop,753023
516,2014-06-22,desktop,1051054
519,2014-06-23,desktop,2356642
522,2014-06-24,desktop,2774208
525,2014-06-25,desktop,2405510
528,2014-06-26,desktop,2109503
531,2014-06-27,desktop,1989565
534,2014-06-28,desktop,972002
537,2014-06-29,desktop,935484
540,2014-06-30,desktop,2717478
543,2014-07-01,desktop,2551071
546,2014-07-02,desktop,2448883
549,2014-07-03,desktop,2005141
552,2014-07-04,desktop,866174
